Product ID,Product Title,Brand,Price,Rating,Specifications
7592,Nokia 105 - Dual Sim Basic Phone Nokia Keypad Mobile Phones Cellphone - Pta Approved,No Brand,"Rs. 2,850",4.3,
8556,Samsung A14 4GB/64GB - 5000 mAh Battery - 6.6' Display - Android 13,No Brand,"Rs. 34,999",4.4,"Introducing the Samsung A14, the latest addition to the mobile phone market. With a 6.6' display, this phone is perfect for streaming your favorite shows and movies. The 5000 mAh battery ensures that you can use your phone all day without worrying about running out of charge. The phone runs on Android 13, providing a smooth and efficient user experience. The 4GB RAM and 64GB storage capacity allow you to store all your important files and documents."
8183,Redmi Note 12 8 GB RAM + 128GB ROM PTA Approved Mobile Phone with 1 Year Brand Warranty,Xiaomi,"Rs. 49,999",4.7,"Redmi Note 12 8 GB RAM + 128GB ROM PTA Approved Mobile Phone with 1 Year Brand Warranty

ROM: 128GB
Official Brand Stock 1 Year Brand Warranty
Available in 4 colors: 
-Blue
-Grey
-Light Green
-Levender"
9796,Like New Phones - Used Apple iPhone X - Silver 256 GB - PTA Approved,Apple,"Rs. 106,999",5.0,"Model: Apple Model: iPhone X Battery Health - 80+ PTA Approved Storage: 256 GB Screen: 5.8-in. Super Retina HD Camera: 12MP Zoom 10x Video camera: 4K Zoom 6x Processor: A11 Bionic chip Memory: 3GB Battery: Lithium-ion 2716 mAh Genuine OEM components Certified 6 Months Daraz Warranty. Daraz Warranty Center Location: Karachi & Lahore. Warranty will be claimed on order number/invoice. The phone will be dispatched in Daraz's Like New packaging. Phone will be slightly used, ensuring its authenticity with a genuine A-grade kit. The original box, charging cable and charging dock will not be included. All Daraz Like New Phones are thoroughly checked by experts to ensure your product is original, has all genuine parts and is in A+ condition. 60+ Quality Check Points – International Standard Grading software, quality check report will also be sent. Fully functional Factory Unlocked"
4413,Redmi A2+ - 3GB/64GB - Mediatek Helio G36 - Android 12- 5000 mAh Battery,Xiaomi,"Rs. 19,399",4.7,Redmi A2+ - 3GB/64GB - Mediatek Helio G96 - Android 12 (Go Edition) - 5000 mAh Battery
6964,Nokia 106 Dual Sim – with Flash 2.4” Inch LCD – Pta Approved,No Brand,"Rs. 2,899",4.2,
9589,Infinix Note 30 Pro 8-256 GB PTA Approved With Official 1 Year Warranty,No Brand,"Rs. 64,499",4.7,"Release Date 2023-05-22
SIM Support Dual SIM (Nano-SIM, dual stand-by)
Phone Dimensions 162.7 x 76 x 8.2 mm
Phone Weight 203 g
Operating System Android 13, XOS 13
Display
Screen Size 6.67 inches
Screen Resolution 1080 x 2400 pixels
Screen Type AMOLED, 1B colors, 120Hz, 900 nits (peak)
Screen Protection N/A
Memory
Internal Memory 256 GB
RAM 8 GB
Card Slot microSDXC (dedicated slot)
Performance
Processor Mediatek MT8781 Helio G99
GPU Mali-G57 MC2
Battery
Type Li-Po 5000 mAh, non-removable
Camera
Front Camera 32 MP
Front Flash Light Yes
Front Video Recording 1080p@30fps
Back Flash Light Yes
Back Camera 108 MP + 2 MP + 2 MP
Back Video Recording 1440p@30fps, 1080p@30fps
Connectivity"
7073,Realme Narzo 50A Prime (4GB-128GB) PTA Approved With Official 1 Year Warranty,No Brand,"Rs. 32,999",4.2,"'Colour
Xanh Tia Chop = Lightning Blue
đen = Black
Release Date 2023-05-30
SIM Support Dual SIM (Nano-SIM, dual stand-by)
Phone Dimensions 164.4 x 75.6 x 8.1 mm
Phone Weight 189 g
Operating System Android 11, Realme UI 2.0
Display
Screen Size 6.6 inches
Screen Resolution 1080 x 2408 pixels
Screen Type IPS LCD, 600 nits (peak)
Screen Protection N/A
Memory
Internal Memory 64/128 GB
RAM 4 GB
Card Slot microSDXC (dedicated slot)
Performance
Processor Unisoc Tiger T612
GPU Mali-G57
Battery"
6318,"Nokia 3310 Style BM10 Mini Mobile - Finger Size Mobile - Ungli Jitna Mobile - Phone Keypad Mobile, Dual Sim, PTA Approved, Memory Card, Voice Changer, Auto Call Recording, Small and Easy to Carry",No Brand,"Rs. 2,249",4.4,"Super  Mini Phone BM-10
Dual Sim
Memory Card
PTA APPROVED
Version: BM10
RAM: 128MB
ROM: 128MB
Displayed in 480X360 resolution
Feature: includes MP3
Multiple SIM cards
Battery capacity: 350 mah
360P Definition for Recording
GSM900, GSM1800, GSM1900, and GSM850
32GB memory card maximum
Meetings as the default
Bm10 Wireless Mini Dialer / Phone
Two SIM card slots
32 GB of RAM is supported.
Dimensions: 68 * 28 * 12 mm"
8641,Like New Phones - Used Apple iPhone X - Silver 64 GB - PTA Approved,Apple,"Rs. 97,999",5.0,"Model: Apple Model: iPhone X Battery Health - 80+ PTA Approved Storage: 64 GB Screen: 5.8-in. Super Retina HD Camera: 12MP Zoom 10x Video camera: 4K Zoom 6x Processor: A11 Bionic chip Memory: 3GB Battery: Lithium-ion 2716 mAh Genuine OEM components Certified 6 Months Daraz Warranty. Daraz Warranty Center Location: Karachi & Lahore. Warranty will be claimed on order number/invoice. The phone will be dispatched in Daraz's Like New packaging. Phone will be slightly used, ensuring its authenticity with a genuine A-grade kit. The original box, charging cable and charging dock will not be included. All Daraz Like New Phones are thoroughly checked by experts to ensure your product is original, has all genuine parts and is in A+ condition. 60+ Quality Check Points – International Standard Grading software, quality check report will also be sent. Fully functional Factory Unlocked"
